0, True, Normal, -0.04449223, -0.0428243, -0.06776018, CubeS, 0.015439, 0.040576, 0.065400, Policy
78, True, Normal, -0.01135183, -0.03479233, -0.14151897, CylinderS, -0.049026, 0.023793, 0.065400, Policy
79, True, Normal, 0.08445373, -0.14812675, -0.24331006, CubeB, -0.037365, 0.010756, 0.065400, Policy
80, True, Normal, -0.10928014, -0.17974676, -0.17690688, CubeS, -0.002209, 0.038161, 0.065400, Policy
81, True, Normal, -0.06558203, -0.13302471, -0.19163805, CubeB, -0.012104, 0.032264, 0.065400, Policy
82, True, Top, -1.71683558, -0.11941258, -1.4753209, Cone1S, -0.040287, -0.001731, 0.050000, Policy
83, True, Normal, -0.18031604, -0.17088678, -0.227295, CylinderS, 0.001249, 0.014494, 0.065400, Policy
84, True, Normal, -0.09678882, -0.09825481, -0.01722038, CubeB, 0.017182, 0.013422, 0.065400, Policy
85, True, Normal, 0.031499, -0.14311906, 0.10081822, CylinderS, -0.016684, 0.031511, 0.065400, Policy
86, True, Normal, -0.01417941, -0.15487369, -0.00834854, CubeS, -0.011493, 0.018884, 0.065400, Policy
87, True, Top, -1.56663341, -0.09163274, -1.8953705, Cone1S, 0.036201, 0.018391, 0.050000, Policy
88, True, Normal, -0.00404054, -0.04046638, -0.13084578, CylinderS, -0.016666, 0.009564, 0.065400, Policy
89, True, Top, -1.67524705, -0.08595592, -1.67914648, Cone1S, -0.041367, -0.027184, 0.050000, Policy
90, True, Normal, -0.09023949, -0.06569092, 0.12249239, CubeB, 0.038148, 0.016999, 0.065400, Policy
91, True, Normal, -0.04222482, -0.04275544, -0.14550918, CubeS, 0.016720, 0.039346, 0.065400, Policy
92, True, Top, -1.70741419, -0.11856058, -1.70467896, Cone1S, 0.002000, 0.040974, 0.050000, Policy
93, True, Normal, -0.13343898, -0.11867238, -0.09504322, CubeS, 0.011060, 0.031528, 0.065400, Policy
94, True, Normal, 0.02194391, -0.06959209, 0.01030044, CylinderS, 0.032203, 0.005013, 0.065400, Policy
95, True, Normal, 0.01544718, 0.05644664, -0.02394167, CubeB, 0.042480, 0.013206, 0.065400, Policy
96, True, Normal, -0.11534561, -0.10505564, -0.06456644, CubeS, -0.012502, 0.043994, 0.065400, Policy
97, True, Normal, -0.16368961, -0.11138742, -0.09604579, CubeB, -0.034000, 0.006378, 0.065400, Policy
98, True, Top, -1.63018295, -0.10980528, -1.64375349, Cone1S, -0.036719, 0.013501, 0.050000, Policy
99, True, Normal, -0.07604291, -0.01977324, -0.13880205, CylinderS, -0.007361, 0.044037, 0.065400, Policy
100, True, Normal, -0.19746572, 0.0002233, -0.09031243, CubeB, 0.007455, 0.029801, 0.065400, Policy
101, True, Normal, 0.03621293, -0.15198585, -0.11143689, CylinderS, -0.055335, 0.020192, 0.065400, Policy
102, True, Normal, -0.00119489, -0.0795812, -0.14058034, CubeS, -0.006235, 0.034614, 0.065400, Policy
103, True, Top, -1.67299948, -0.00182098, -1.64238648, Cone1S, 0.018962, -0.053623, 0.050000, Policy
104, True, Normal, -0.054035, 0.00045114, -0.2977047, CylinderS, 0.020807, 0.033932, 0.065400, Policy
105, True, Top, -1.50456809, -0.15769321, -1.63016845, Cone1S, -0.012427, 0.055934, 0.050000, Policy
106, True, Normal, -0.04436067, -0.20904092, 0.01148234, CubeB, 0.033485, 0.016536, 0.065400, Policy
107, True, Normal, -0.12838579, -0.22552662, -0.02045955, CubeS, 0.009859, 0.022901, 0.065400, Policy
108, True, Top, -1.62095769, -0.12242988, -1.51504783, Cone1S, 0.001514, -0.001247, 0.050000, Policy
109, True, Normal, 0.01665672, -0.04458787, 0.09551797, CubeS, 0.059039, 0.000891, 0.065400, Policy
110, True, Normal, -0.17328611, -0.0680075, -0.06218183, CylinderS, -0.054508, 0.013380, 0.065400, Policy
111, True, Normal, -0.26775478, 0.00863393, -0.10248679, CubeB, -0.007978, 0.032111, 0.065400, Policy
112, True, Normal, -0.06148263, -0.01651936, -0.09602656, CubeS, 0.058248, 0.004289, 0.065400, Policy
113, True, Normal, 0.07530096, -0.08600224, -0.23880172, CubeB, 0.053267, 0.017951, 0.065400, Policy
114, True, Top, -1.53790386, -0.09543038, -1.65511155, Cone1S, -0.012428, -0.017981, 0.050000, Policy
115, True, Normal, -0.2204372, -0.00965228, -0.00231692, CylinderS, 0.004364, 0.036070, 0.065400, Policy
116, True, Normal, 0.07894593, -0.06679358, -0.12237975, CubeB, -0.063072, 0.007679, 0.065400, Policy
117, True, Normal, 0.12102518, -0.08940469, -0.05894044, CylinderS, 0.004340, 0.027806, 0.065400, Policy
118, True, Normal, -0.22394066, 0.06103394, 0.02768506, CubeS, 0.011717, 0.026162, 0.065400, Policy
119, True, Top, -1.61863975, -0.05719593, -1.63391432, Cone1S, -0.035104, -0.049884, 0.050000, Policy
120, True, Normal, 0.03420776, -0.09288373, -0.22766914, CylinderS, -0.000913, 0.020656, 0.065400, Policy
121, True, Top, -1.83041701, -0.08836208, -1.79755085, Cone1S, 0.011219, -0.028866, 0.050000, Policy
122, True, Normal, -0.02449518, 0.0672978, -0.15296564, CubeB, -0.008260, 0.025607, 0.065400, Policy
123, True, Normal, -0.12128575, -0.05765579, -0.06015711, CubeS, -0.003081, 0.027793, 0.065400, Policy
124, True, Top, -1.60795414, -0.23281344, -1.65049015, Cone1S, 0.018975, 0.010064, 0.050000, Policy
125, True, Normal, -0.01692878, -0.09518551, -0.19069553, CubeS, -0.002490, 0.019721, 0.065400, Policy
126, True, Normal, -0.22994344, -0.11266946, -0.13811442, CylinderS, -0.019927, 0.032763, 0.065400, Policy
127, True, Normal, -0.14552938, -0.21726249, 0.09160054, CubeB, -0.002423, 0.027542, 0.065400, Policy
128, True, Normal, -0.07016234, -0.09033437, 0.11343003, CubeS, -0.014781, 0.010604, 0.065400, Policy
129, True, Normal, -0.03771535, 0.01610184, 0.09768968, CubeB, 0.003208, 0.024340, 0.065400, Policy
130, True, Top, -1.66811264e+00, 6.57979945e-04, -1.65522307e+00, Cone1S, -0.030991, -0.056899, 0.050000, Policy
131, True, Normal, 0.06679863, 0.06131461, -0.01457462, CylinderS, -0.042245, 0.007898, 0.065400, Policy
132, True, Normal, -0.12920138, -0.03387064, -0.05557788, CubeB, -0.038057, 0.003112, 0.065400, Policy
133, True, Normal, -0.03390205, -0.11299298, -0.0855653, CylinderS, 0.031945, 0.016072, 0.065400, Policy
134, True, Normal, -0.0271227, -0.06707596, -0.07169039, CubeS, 0.046546, 0.000878, 0.065400, Policy
135, True, Top, -1.54198263, 0.04425931, -1.87897937, Cone1S, 0.019944, -0.029619, 0.050000, Policy
136, True, Normal, 0.00415294, -0.10397419, -0.06700323, CylinderS, -0.019288, 0.016308, 0.065400, Policy
137, True, Top, -1.57861585, -0.14661239, -1.57653792, Cone1S, -0.018617, 0.038296, 0.050000, Policy
138, True, Normal, -0.17029473, -0.07968507, -0.07382634, CubeB, 0.040789, 0.016995, 0.065400, Policy
139, True, Normal, 0.01421327, -0.14311346, -0.01823551, CubeS, -0.036745, 0.004513, 0.065400, Policy
140, True, Top, -1.77092983, -0.13503054, -1.67559371, Cone1S, 0.000308, 0.037205, 0.050000, Policy
141, True, Normal, -0.27753846, -0.03962257, 0.06775471, CubeS, -0.017282, 0.009778, 0.065400, Policy
142, True, Normal, -0.04900879, -0.05763899, -0.19169761, CylinderS, -0.000367, 0.032453, 0.065400, Policy
143, True, Normal, -0.10302968, 0.0064888, -0.01720482, CubeB, -0.012110, 0.018919, 0.065400, Policy
144, True, Normal, -0.24159417, -0.04141093, -0.10018823, CubeS, 0.011267, 0.027820, 0.065400, Policy
145, True, Normal, -0.1621714, 0.02809992, -0.06993053, CubeB, -0.000772, 0.013280, 0.065400, Policy
146, True, Top, -1.63451037, -0.01553116, -1.70009387, Cone1S, 0.030254, 0.009015, 0.050000, Policy
147, True, Normal, -0.0166626, -0.0974273, -0.16073636, CylinderS, 0.006349, 0.018098, 0.065400, Policy
148, True, Normal, -0.14092645, -0.02067474, -0.06235479, CubeB, -0.000799, 0.010333, 0.065400, Policy
149, True, Normal, -0.05068866, -0.13755114, -0.11109187, CylinderS, -0.024524, 0.038946, 0.065400, Policy
150, True, Normal, 0.08766409, -0.16475113, -0.01680621, CubeS, 0.036961, 0.024713, 0.065400, Policy
151, True, Top, -1.54646537, -0.11667713, -1.60511033, Cone1S, -0.035033, 0.022583, 0.050000, Policy
152, True, Normal, -0.10683893, -0.10645815, -0.10086635, CylinderS, -0.014742, 0.023423, 0.065400, Policy
153, True, Top, -1.77147, -0.18869739, -1.6149303, Cone1S, 0.004893, -0.051582, 0.050000, Policy
154, True, Normal, -0.29868748, -0.16981439, -0.07252748, CubeB, 0.078226, 0.000037, 0.065400, Policy
155, True, Normal, -0.12212855, -0.08327755, 0.04882822, CubeS, 0.041963, 0.002113, 0.065400, Policy
156, True, Top, -1.63880811, -0.10280475, -1.53862886, Cone1S, -0.012657, 0.039851, 0.050000, Policy
157, True, Normal, -0.11828489, 0.01995002, -0.01149261, CubeS, -0.001663, 0.028021, 0.065400, Policy
158, True, Normal, -0.20224712, -0.1623323, -0.16295317, CylinderS, -0.033030, 0.033450, 0.065400, Policy
159, True, Normal, -0.26943902, -0.21668878, -0.1480468, CubeB, 0.013758, 0.017271, 0.065400, Policy
160, True, Normal, -0.00067193, -0.11296934, -0.185202, CubeS, 0.008712, 0.033032, 0.065400, Policy
161, True, Normal, -0.12357946, -0.11072016, -0.21821084, CubeB, 0.026627, 0.005844, 0.065400, Policy
162, True, Top, -1.71891031, -0.06403697, -1.70064818, Cone1S, -0.029722, 0.000070, 0.050000, Policy
163, True, Normal, -0.1395297, 0.0231841, -0.06126078, CylinderS, -0.011520, 0.003949, 0.065400, Policy
164, True, Normal, -0.02541867, -0.14555462, -0.1122734, CubeB, 0.012814, 0.001189, 0.065400, Policy
165, True, Normal, -0.09471995, 0.05184755, -0.23223309, CylinderS, 0.024256, 0.024572, 0.065400, Policy
166, True, Normal, -0.0369528, -0.08894598, -0.22047728, CubeS, 0.001546, 0.001237, 0.065400, Policy
167, True, Top, -1.6157722, -0.09711272, -1.66623312, Cone1S, 0.013383, 0.024933, 0.050000, Policy
168, True, Normal, -0.03478657, -0.06611648, -0.10280147, CylinderS, -0.008575, 0.049300, 0.065400, Policy
169, True, Top, -1.50663147, -0.16691982, -1.73455401, Cone1S, -0.012561, 0.019171, 0.050000, Policy
170, True, Normal, -0.15774144, -0.11714473, 0.04769935, CubeB, 0.020781, 0.002239, 0.065400, Policy
171, True, Normal, -0.08196075, 0.01458497, -0.05187433, CubeS, 0.013679, 0.026609, 0.065400, Policy
172, True, Top, -1.59794611, -0.04704101, -1.60029341, Cone1S, -0.024142, 0.024313, 0.050000, Policy
173, True, Normal, -0.25612425, -0.08267636, -0.06348182, CubeS, 0.018718, 0.007349, 0.065400, Policy
174, True, Normal, -0.15382877, -0.16678918, -0.02688457, CylinderS, 0.041537, 0.028173, 0.065400, Policy
175, True, Normal, -0.06447456, -0.06334617, -0.23334952, CubeB, 0.018354, 0.025369, 0.065400, Policy
176, True, Normal, -0.02202351, 0.04122138, -0.05563315, CubeS, -0.014343, 0.031075, 0.065400, Policy
177, True, Normal, -0.14188989, -0.04286467, -0.04192232, CubeB, -0.049198, 0.008616, 0.065400, Policy
178, True, Top, -1.57065993, -0.08272506, -1.78587247, Cone1S, -0.026825, -0.049361, 0.050000, Policy
179, True, Normal, -0.13806951, -0.16456031, 0.01241037, CylinderS, 0.021401, 0.031566, 0.065400, Policy
180, True, Normal, -0.13305998, -0.12372694, -0.15384709, CubeB, -0.047121, 0.010256, 0.065400, Policy
181, True, Normal, -0.1874132, -0.23687467, -0.07415665, CylinderS, -0.011807, 0.051723, 0.065400, Policy
182, True, Normal, 0.00728136, -0.12881543, -0.07090021, CubeS, 0.077034, 0.002058, 0.065400, Policy
183, True, Top, -1.58913988, -0.05034914, -1.68630002, Cone1S, 0.016882, -0.016886, 0.050000, Policy
184, True, Normal, -0.10743982, 0.03252056, -0.03278739, CylinderS, -0.032363, 0.023470, 0.065400, Policy
185, True, Top, -1.51058486, -0.13798024, -1.69361048, Cone1S, 0.033318, 0.022689, 0.050000, Policy
186, True, Normal, -0.02152383, 0.01566767, -0.08053569, CubeB, -0.049748, 0.002986, 0.065400, Policy
187, True, Normal, -0.14699691, -0.10416235, -0.07803841, CubeS, -0.029334, 0.023265, 0.065400, Policy
188, True, Top, -1.67580225, -0.07974185, -1.72215022, Cone1S, -0.025681, 0.023796, 0.050000, Policy
189, True, Normal, -0.14801794, 0.0858561, -0.10107194, CubeS, 0.027805, 0.040496, 0.065400, Policy
190, True, Normal, -0.08793724, -0.08306563, -0.03598106, CylinderS, 0.024670, 0.007120, 0.065400, Policy
191, True, Normal, -0.0240136, 0.05213075, -0.01347079, CubeB, 0.021632, 0.019731, 0.065400, Policy
192, True, Normal, -0.1576012, -0.321005, 0.01658663, CubeS, -0.068040, 0.010052, 0.065400, Policy
193, True, Normal, 0.08088372, 0.02657941, -0.1340493, CubeB, -0.008771, 0.008675, 0.065400, Policy
194, True, Top, -1.62288977, -0.10418109, -1.66237546, Cone1S, -0.011500, -0.004815, 0.050000, Policy
195, True, Normal, -0.04833831, -0.22929113, -0.18855231, CylinderS, 0.048227, 0.022241, 0.065400, Policy
196, True, Normal, -0.05135102, 0.07853787, -0.08339417, CubeB, 0.002140, 0.012432, 0.065400, Policy
197, True, Normal, -0.08951577, -0.19162177, -0.1499541, CylinderS, -0.069720, 0.000946, 0.065400, Policy
198, True, Normal, -0.0977519, 0.0875079, -0.08028013, CubeS, 0.025894, 0.018029, 0.065400, Policy
199, True, Top, -1.67429896, -0.08345589, -1.60971562, Cone1S, 0.021450, -0.048888, 0.050000, Policy
200, True, Normal, -0.14552152, -0.09659321, -0.06860729, CylinderS, 0.039338, 0.005619, 0.065400, Policy
201, True, Top, -1.5974495, 0.10206802, -1.48715395, Cone1S, -0.003106, 0.005954, 0.050000, Policy
202, True, Normal, -0.04250029, -0.21411333, -0.04585522, CubeB, -0.016226, 0.009375, 0.065400, Policy
203, True, Normal, -0.11570225, 0.02682716, -0.170292, CubeS, 0.006406, 0.039172, 0.065400, Policy
204, True, Top, -1.69597427, -0.03773458, -1.62776187, Cone1S, 0.025229, 0.057077, 0.050000, Policy
205, True, Normal, 0.05422749, -0.02232294, -0.06820168, CubeS, 0.002553, 0.007266, 0.065400, Policy
206, True, Normal, -0.0166463, -0.17765014, -0.16531857, CylinderS, 0.012829, 0.032282, 0.065400, Policy
207, True, Normal, -1.78445496e-01, 3.95743686e-02, 1.24581174e-04, CubeB, 0.023712, 0.001766, 0.065400, Policy
208, True, Normal, -0.10773715, -0.054188, -0.04536707, CubeS, 0.050538, 0.002259, 0.065400, Policy
209, True, Normal, -0.1098011, 0.01548503, -0.07899225, CubeB, -0.008636, 0.003797, 0.065400, Policy
210, True, Top, -1.62739193, -0.06106321, -1.91306884, Cone1S, -0.043531, 0.014237, 0.050000, Policy
211, True, Normal, -0.0974756, -0.04003382, -0.0556242, CylinderS, -0.003622, 0.016258, 0.065400, Policy
212, True, Normal, -0.06451627, -0.35284799, -0.02095957, CubeB, -0.013676, 0.032539, 0.065400, Policy
213, True, Normal, 0.07146126, 0.03435948, -0.16440727, CylinderS, -0.010942, 0.008651, 0.065400, Policy
214, True, Normal, -0.04173016, 0.11937018, -0.2478816, CubeS, 0.023102, 0.016918, 0.065400, Policy
215, True, Top, -1.75304793, -0.09781677, -1.7369416, Cone1S, 0.035985, -0.017791, 0.050000, Policy
216, True, Normal, -0.15494731, 0.00133821, -0.24756472, CylinderS, 0.005469, 0.008693, 0.065400, Policy
217, True, Top, -1.75014191, -0.10626511, -1.54813861, Cone1S, 0.025693, -0.011049, 0.050000, Policy
218, True, Normal, -0.08045474, -0.17506874, 0.04459446, CubeB, -0.022458, 0.003969, 0.065400, Policy
219, True, Normal, -0.17803609, 0.01251211, -0.10434716, CubeS, 0.063771, 0.003942, 0.065400, Policy
220, True, Top, -1.6181449, -0.16099752, -1.62298297, Cone1S, -0.030004, 0.011959, 0.050000, Policy
221, True, Normal, -0.29003748, 0.09368961, -0.00230903, CubeS, 0.058691, 0.009376, 0.065400, Policy
222, True, Normal, -0.05247234, -0.06183581, -0.04987347, CylinderS, 0.020320, 0.023628, 0.065400, Policy
223, True, Normal, -0.12240074, 0.05086577, -0.14958395, CubeB, 0.003502, 0.023509, 0.065400, Policy
224, True, Normal, 0.01456319, -0.13530648, -0.03453322, CubeS, -0.045447, 0.005776, 0.065400, Policy
225, True, Normal, -0.07531591, -0.22395074, -0.25062703, CubeB, -0.051893, 0.014626, 0.065400, Policy
226, True, Top, -1.61040135, 0.00668363, -1.65806295, Cone1S, 0.029478, -0.008850, 0.050000, Policy
227, True, Normal, -0.15657164, -0.17453656, -0.19596794, CylinderS, 0.042820, 0.020437, 0.065400, Policy
228, True, Normal, -0.01861461, -0.04640458, -0.04994946, CubeB, -0.032010, 0.009389, 0.065400, Policy
229, True, Normal, -0.09325898, -0.34544495, -0.09143061, CylinderS, -0.051210, 0.016953, 0.065400, Policy
230, True, Normal, -0.14037953, -0.07496186, -0.02461499, CubeS, -0.024832, 0.012635, 0.065400, Policy
231, True, Top, -1.79196161, -0.1193204, -1.61615055, Cone1S, 0.001146, -0.005114, 0.050000, Policy
232, True, Normal, -0.04607515, 0.00323529, -0.0578265, CylinderS, -0.036412, 0.011702, 0.065400, Policy
233, True, Top, -1.67381323, -0.08325152, -1.57219374, Cone1S, -0.011083, -0.050880, 0.050000, Policy
234, True, Normal, -0.15767772, -0.1430007, -0.09239479, CubeB, -0.048535, 0.006536, 0.065400, Policy
235, True, Normal, -0.1642114, -0.00701227, -0.22963668, CubeS, -0.018502, 0.035662, 0.065400, Policy
236, True, Top, -1.71870167, -0.02685319, -1.50354064, Cone1S, 0.042349, 0.024556, 0.050000, Policy
237, True, Normal, -0.19869081, -0.06942499, 0.02153921, CubeS, -0.005114, 0.009514, 0.065400, Policy
238, True, Normal, 0.00530378, -0.14072214, 0.08611703, CylinderS, -0.001287, 0.008925, 0.065400, Policy
239, True, Normal, -0.14057298, 0.03973137, 0.05917735, CubeB, -0.026865, 0.020814, 0.065400, Policy
240, True, Normal, -0.03335992, -0.18185411, -0.13740756, CubeS, -0.015805, 0.029670, 0.065400, Policy
241, True, Normal, -0.07699256, -0.04958382, -0.15733849, CubeB, 0.005404, 0.007641, 0.065400, Policy
242, True, Top, -1.69589826, -0.2186571, -1.89560277, Cone1S, -0.020571, -0.044954, 0.050000, Policy
243, True, Normal, -0.15402541, -0.08739282, -0.05635293, CylinderS, 0.034574, 0.007057, 0.065400, Policy
244, True, Normal, 0.08302519, 0.10813602, -0.08399772, CubeB, 0.009067, 0.027756, 0.065400, Policy
245, True, Normal, -0.15530274, -0.1840142, 0.02266554, CylinderS, 0.053183, 0.003265, 0.065400, Policy
246, True, Normal, -0.15854717, 0.15576009, -0.07714526, CubeS, 0.001156, 0.000156, 0.065400, Policy
